provincia,departamento,2021,2022,2023
Tucumán,Burruyacú,45927,46620,47306
Tucumán,Capital,609681,613557,617384
Tucumán,Chicligasta,95570,96664,97745
Tucumán,Cruz Alta,223148,226437,229688
Tucumán,Famaillá,42813,43451,44083
Tucumán,Graneros,15299,15416,15531
Tucumán,Juan B. Alberdi,35703,36104,36500
Tucumán,La Cocha,22479,22735,22988
Tucumán,Leales,63575,64187,64792
Tucumán,Lules,91554,93417,95259
Tucumán,Monteros,76303,77251,78188
Tucumán,Río Chico,67310,68080,68842
Tucumán,Simoca,34613,34856,35098
Tucumán,Tafí del Valle,17708,17912,18114
Tucumán,Tafí Viejo,152557,154969,157352
Tucumán,Trancas,21710,22047,22380
Tucumán,Yerba Buena,98537,100415,102273
Tierra del Fuego,Antártida Argentina,291,298,305
Tierra del Fuego,Río Grande,98277,100678,103088
Tierra del Fuego,Ushuaia,79129,81007,82892
Santiago del estero,Aguirre,8585,8668,8751
Santiago del estero,Alberdi,19997,20236,20474
Santiago del estero,Atamisqui,12784,12948,13110
Santiago del estero,Avellaneda,23158,23362,23564
Santiago del estero,Banda,165419,167451,169458
Santiago del estero,Belgrano,11332,11519,11703
Santiago del estero,Capital,301019,303936,306825
Santiago del estero,Choya,36637,36786,36934
Santiago del estero,Copo,38671,39321,39963
Santiago del estero,Figueroa,18582,18635,18687
Santiago del estero,General Taboada,40732,40941,41146
Santiago del estero,Guasayán,7997,8026,8055
Santiago del estero,Jiménez,16316,16485,16654
Santiago del estero,Juan F. Ibarra,19912,20068,20223
Santiago del estero,Loreto,24190,24560,24926
Santiago del estero,Mitre,2038,2050,2062
Santiago del estero,Moreno,38706,39292,39871
Santiago del estero,Ojo de Agua,15186,15283,15377
Santiago del estero,Pellegrini,22304,22452,22597
Santiago del estero,Quebrachos,10077,10019,9962
Santiago del estero,Río Hondo,61764,62357,62943
Santiago del estero,Rivadavia,5246,5263,5279
Santiago del estero,Robles,51565,52192,52812
Santiago del estero,Salavina,12204,12285,12365
Santiago del estero,San Martín,11019,11121,11221
Santiago del estero,Sarmiento,4784,4795,4806
Santiago del estero,Silípica,8021,8042,8062
Santa fe,Belgrano,52086,52679,53269
